dataset,filename,sub_category,ground_truth,predicted,correct,defect_count,max_severity,vlm_description
transistor,000.png,bent_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a cup defect :
transistor,001.png,bent_lead,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a scissors defect :
transistor,002.png,bent_lead,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a traffic light defect :
transistor,003.png,bent_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,004.png,bent_lead,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a traffic light defect :
transistor,005.png,bent_lead,DEFECT,PASS,False,0,N/A,
transistor,006.png,bent_lead,DEFECT,DEFECT,True,3,medium,a quality inspection photo showing a person defect :s
transistor,007.png,bent_lead,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a clock defect :
transistor,008.png,bent_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a scissors defect :s
transistor,009.png,bent_lead,DEFECT,DEFECT,True,3,medium,a quality inspection photo showing a traffic light defect :
transistor,000.png,cut_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a clock defect :
transistor,001.png,cut_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,002.png,cut_lead,DEFECT,DEFECT,True,3,medium,a quality inspection photo showing a skateboard defect :
transistor,003.png,cut_lead,DEFECT,PASS,False,0,N/A,
transistor,004.png,cut_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,005.png,cut_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,006.png,cut_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,007.png,cut_lead,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,008.png,cut_lead,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a toothbrush defect :
transistor,009.png,cut_lead,DEFECT,PASS,False,0,N/A,
transistor,000.png,damaged_case,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,001.png,damaged_case,DEFECT,PASS,False,0,N/A,
transistor,002.png,damaged_case,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a toothbrush defect :
transistor,003.png,damaged_case,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a person defect :
transistor,004.png,damaged_case,DEFECT,PASS,False,0,N/A,
transistor,005.png,damaged_case,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a person defect :
transistor,006.png,damaged_case,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a traffic light defect :
transistor,007.png,damaged_case,DEFECT,PASS,False,0,N/A,
transistor,008.png,damaged_case,DEFECT,DEFECT,True,3,medium,a quality inspection photo showing a traffic light defect :e
transistor,009.png,damaged_case,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a traffic light defect :e
transistor,000.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a traffic light defect :
transistor,001.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,002.png,good,PASS,PASS,True,0,N/A,
transistor,003.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,004.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a toothbrush defect :
transistor,005.png,good,PASS,PASS,True,0,N/A,
transistor,006.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a traffic light defect :
transistor,007.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a toothbrush defect :
transistor,008.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a person defect :
transistor,009.png,good,PASS,PASS,True,0,N/A,
transistor,010.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a cup defect :
transistor,011.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a person defect :
transistor,012.png,good,PASS,DEFECT,False,3,medium,a quality inspection photo showing a person defect :
transistor,013.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,014.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a scissors defect :
transistor,015.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a toothbrush defect :
transistor,016.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a person defect :s
transistor,017.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a toothbrush defect :
transistor,018.png,good,PASS,PASS,True,0,N/A,
transistor,019.png,good,PASS,DEFECT,False,3,medium,a quality inspection photo showing a toothbrush defect :
transistor,020.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a clock defect :
transistor,021.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,022.png,good,PASS,DEFECT,False,3,medium,a quality inspection photo showing a person defect :
transistor,023.png,good,PASS,PASS,True,0,N/A,
transistor,024.png,good,PASS,PASS,True,0,N/A,
transistor,025.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,026.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,027.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a toothbrush defect :
transistor,028.png,good,PASS,DEFECT,False,3,medium,a quality inspection photo showing a person defect :
transistor,029.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a person defect :s
transistor,030.png,good,PASS,PASS,True,0,N/A,
transistor,031.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,032.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,033.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a toothbrush defect :er
transistor,034.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,035.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a traffic light defect :
transistor,036.png,good,PASS,PASS,True,0,N/A,
transistor,037.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a person defect :s
transistor,038.png,good,PASS,DEFECT,False,3,medium,a quality inspection photo showing a person defect :
transistor,039.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a toothbrush defect :
transistor,040.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,041.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a person defect :s
transistor,042.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,043.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a person defect :s
transistor,044.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,045.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a person defect :
transistor,046.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,047.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a defect defect :
transistor,048.png,good,PASS,PASS,True,0,N/A,
transistor,049.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,050.png,good,PASS,DEFECT,False,3,medium,a quality inspection photo showing a toothbrush defect :
transistor,051.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a person defect :s
transistor,052.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,053.png,good,PASS,PASS,True,0,N/A,
transistor,054.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a traffic light defect :
transistor,055.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a scissors defect :
transistor,056.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a person defect :
transistor,057.png,good,PASS,DEFECT,False,1,medium,a quality inspection photo showing a toothbrush defect :
transistor,058.png,good,PASS,PASS,True,0,N/A,
transistor,059.png,good,PASS,DEFECT,False,2,medium,a quality inspection photo showing a person defect :
transistor,000.png,misplaced,DEFECT,DEFECT,True,1,medium,a quality inspection photo showing a defect defect :
transistor,001.png,misplaced,DEFECT,DEFECT,True,2,medium,a quality inspection photo showing a scissors defect :s
